Date	Global_portfolio_USD
31-Dec-99	100
31-Jan-00	94.63511998
29-Feb-00	93.68069065
31-Mar-00	101.7228484
28-Apr-00	98.04818643
31-May-00	96.20066747
30-Jun-00	98.45286829
31-Jul-00	97.04587839
31-Aug-00	101.9123326
29-Sep-00	96.4044189
31-Oct-00	95.72904478
30-Nov-00	88.51790224
29-Dec-00	89.83158715
31-Jan-01	92.88891945
28-Feb-01	84.46325289
30-Mar-01	78.49380927
30-Apr-01	84.33968638
31-May-01	84.1071581
29-Jun-01	82.1726714
31-Jul-01	81.1249367
31-Aug-01	76.24498914
28-Sep-01	69.49448742
31-Oct-01	70.89562445
30-Nov-01	76.09017248
31-Dec-01	76.98198404
31-Jan-02	75.35696361
28-Feb-02	74.15497418
29-Mar-02	76.99184509
30-Apr-02	72.84006785
31-May-02	72.26638432
28-Jun-02	67.21829166
31-Jul-02	61.30571403
30-Aug-02	61.71048091
30-Sep-02	54.47039415
31-Oct-02	59.25728531
29-Nov-02	62.5280633
31-Dec-02	58.96637389
31-Jan-03	57.37572262
28-Feb-03	56.13539099
31-Mar-03	56.54084381
30-Apr-03	61.59715171
30-May-03	64.81898933
30-Jun-03	65.60848548
31-Jul-03	66.78441465
29-Aug-03	67.9048313
30-Sep-03	67.44411896
31-Oct-03	71.34280299
28-Nov-03	72.2654986
31-Dec-03	76.3557695
30-Jan-04	77.63131765
27-Feb-04	78.57180309
31-Mar-04	77.11872867
30-Apr-04	75.77063743
31-May-04	76.47712307
30-Jun-04	77.95566475
30-Jul-04	75.38531112
31-Aug-04	75.59663191
30-Sep-04	76.67331459
29-Oct-04	77.96774192
30-Nov-04	81.50446436
31-Dec-04	84.37925827
31-Jan-05	82.22193335
28-Feb-05	84.34609401
31-Mar-05	82.44655066
29-Apr-05	80.69786528
31-May-05	82.89983902
30-Jun-05	83.12043
29-Jul-05	86.21744863
31-Aug-05	85.77983087
30-Sep-05	87.03890981
31-Oct-05	85.3337908
30-Nov-05	88.37530865
30-Dec-05	88.86868773
31-Jan-06	92.52420422
28-Feb-06	92.71103327
31-Mar-06	93.92301965
28-Apr-06	96.2152421
31-May-06	92.27398835
30-Jun-06	92.5712685
31-Jul-06	93.14762134
31-Aug-06	95.23140311
29-Sep-06	97.15697891
31-Oct-06	100.6758229
30-Nov-06	102.9549432
29-Dec-06	105.0709412
31-Jan-07	106.3699455
28-Feb-07	104.5614726
30-Mar-07	106.4425385
30-Apr-07	111.8575039
31-May-07	115.9594178
29-Jun-07	114.8881384
31-Jul-07	111.7631379
31-Aug-07	112.38815
28-Sep-07	118.2034656
31-Oct-07	121.7426895
30-Nov-07	116.5031184
31-Dec-07	115.8161524
31-Jan-08	107.8897977
29-Feb-08	106.8604654
31-Mar-08	105.3534507
30-Apr-08	111.8026899
30-May-08	113.9862409
30-Jun-08	104.1514632
31-Jul-08	102.0761154
29-Aug-08	100.5254698
30-Sep-08	88.78723733
31-Oct-08	71.77648303
28-Nov-08	66.30727219
31-Dec-08	67.77706322
30-Jan-09	62.09173983
27-Feb-09	55.51779138
31-Mar-09	60.40001557
30-Apr-09	66.83944102
29-May-09	71.87016341
30-Jun-09	71.54681792
31-Jul-09	77.44552103
31-Aug-09	80.06507486
30-Sep-09	84.07118888
30-Oct-09	82.50354237
30-Nov-09	87.26112562
31-Dec-09	88.93993287
29-Jan-10	84.7553117
26-Feb-10	86.0253463
31-Mar-10	91.34231891
30-Apr-10	91.29461107
31-May-10	82.5262563
30-Jun-10	79.69453272
30-Jul-10	85.92451401
31-Aug-10	82.40067946
30-Sep-10	90.01413208
29-Oct-10	93.42002804
30-Nov-10	91.69516783
31-Dec-10	98.21199363
31-Jan-11	99.53130173
28-Feb-11	102.7423753
31-Mar-11	101.9649813
29-Apr-11	106.0423548
31-May-11	103.5522295
30-Jun-11	102.0553397
29-Jul-11	100.5668082
31-Aug-11	93.18132459
30-Sep-11	84.51856881
31-Oct-11	93.40805449
30-Nov-11	90.75639755
30-Dec-11	90.56947619
31-Jan-12	95.64282134
29-Feb-12	99.89869777
30-Mar-12	100.7023683
30-Apr-12	99.58573508
31-May-12	90.94714042
29-Jun-12	94.80018889
31-Jul-12	95.91050441
31-Aug-12	97.86558551
28-Sep-12	100.5822524
31-Oct-12	99.66554826
30-Nov-12	100.4947368
31-Dec-12	102.735363
31-Jan-13	107.1770461
28-Feb-13	107.085434
29-Mar-13	109.1853892
30-Apr-13	111.9327963
31-May-13	112.1269032
28-Jun-13	108.6915115
31-Jul-13	113.8001484
30-Aug-13	111.2286127
30-Sep-13	116.3587262
31-Oct-13	120.6244874
29-Nov-13	122.8464299
31-Dec-13	124.9272244
31-Jan-14	119.8375115
28-Feb-14	125.1931267
31-Mar-14	125.3075543
30-Apr-14	126.3906626
30-May-14	128.5978156
30-Jun-14	130.749553
31-Jul-14	129.0965134
29-Aug-14	131.842536
30-Sep-14	127.9624747
31-Oct-14	128.960127
28-Nov-14	131.2420856
31-Dec-14	129.5425961
30-Jan-15	127.2972208
27-Feb-15	133.9450135
31-Mar-15	131.8131935
30-Apr-15	135.6384446
29-May-15	135.7175866
30-Jun-15	132.3284348
31-Jul-15	133.2288564
31-Aug-15	124.1012817
30-Sep-15	119.612815
30-Oct-15	128.9505559
30-Nov-15	128.2245295
31-Dec-15	125.8069782
29-Jan-16	118.0554217
29-Feb-16	117.0932819
31-Mar-16	125.2573554
29-Apr-16	126.8983979
31-May-16	127.1649
30-Jun-16	126.1740429
29-Jul-16	131.4354675
31-Aug-16	131.6867115
30-Sep-16	131.8169241
31-Oct-16	129.6419718
30-Nov-16	131.1221399
30-Dec-16	133.8671828
31-Jan-17	137.1119888
28-Feb-17	140.6421024
31-Mar-17	141.8501397
28-Apr-17	143.5205899
31-May-17	146.0792347
30-Jun-17	146.5183243
31-Jul-17	149.9500282
31-Aug-17	150.0466991
29-Sep-17	152.6790199
31-Oct-17	156.1593317
30-Nov-17	159.3288787
29-Dec-17	161.6347487
31-Jan-18	170.2978889
